estimator,parking_index,theta_hat,successes,exposure
trace_exposure,127,0.14942528735632185,25.0,172.0
trace_exposure,128,0.18947368421052632,35.0,188.0
trace_exposure,129,0.15384615384615385,29.0,193.0
trace_exposure,130,0.625,19.0,30.0
trace_exposure,131,0.8260869565217391,18.0,21.0
trace_exposure,132,0.41379310344827586,47.0,114.0
trace_exposure,133,0.20512820512820512,31.0,154.0
trace_exposure,134,0.2605633802816901,36.0,140.0
trace_exposure,135,0.2222222222222222,27.0,124.0
trace_exposure,136,0.17272727272727273,18.0,108.0
trace_exposure,137,0.421875,26.0,62.0
trace_exposure,138,0.4444444444444444,35.0,79.0
trace_exposure,139,0.18181818181818182,27.0,152.0
trace_exposure,140,0.24285714285714285,16.0,68.0
trace_exposure,141,0.4722222222222222,16.0,34.0
trace_exposure,142,0.375,11.0,30.0
trace_exposure,143,0.4186046511627907,53.0,127.0
trace_exposure,144,0.5714285714285714,35.0,61.0
trace_exposure,145,0.39622641509433965,20.0,51.0
trace_exposure,146,0.4274193548387097,52.0,122.0
trace_exposure,147,0.550561797752809,48.0,87.0
trace_exposure,148,0.2786885245901639,16.0,59.0
trace_exposure,149,0.46938775510204084,22.0,47.0
trace_exposure,150,0.56,27.0,48.0
trace_exposure,151,0.6138613861386139,61.0,99.0
trace_exposure,152,0.46153846153846156,35.0,76.0
trace_exposure,153,0.7142857142857143,19.0,26.0
trace_exposure,154,0.6470588235294118,43.0,66.0
stop_confirmed,0,0.6666666666666666,1.0,1.0
stop_confirmed,1,0.3333333333333333,4.0,13.0
stop_confirmed,2,0.3333333333333333,1.0,4.0
stop_confirmed,3,0.36363636363636365,7.0,20.0
stop_confirmed,4,0.6666666666666666,1.0,1.0
stop_confirmed,5,0.8,3.0,3.0
stop_confirmed,6,0.6666666666666666,7.0,10.0
stop_confirmed,7,0.23404255319148937,10.0,45.0
stop_confirmed,8,0.3888888888888889,6.0,16.0
stop_confirmed,9,0.5555555555555556,4.0,7.0
stop_confirmed,10,0.8,3.0,3.0
stop_confirmed,11,0.35294117647058826,5.0,15.0
stop_confirmed,12,0.6666666666666666,1.0,1.0
stop_confirmed,13,0.75,5.0,6.0
stop_confirmed,14,0.45,8.0,18.0
stop_confirmed,15,0.6,5.0,8.0
stop_confirmed,16,0.5,3.0,6.0
stop_confirmed,17,0.6666666666666666,3.0,4.0
stop_confirmed,18,0.4,3.0,8.0
stop_confirmed,19,0.3333333333333333,3.0,10.0
stop_confirmed,20,0.5555555555555556,9.0,16.0
stop_confirmed,21,0.125,3.0,30.0
stop_confirmed,22,0.4,7.0,18.0
stop_confirmed,23,0.6,2.0,3.0
stop_confirmed,24,0.5,3.0,6.0
stop_confirmed,25,0.1875,2.0,14.0
stop_confirmed,26,0.8333333333333334,4.0,4.0
stop_confirmed,27,0.6,5.0,8.0
stop_confirmed,28,0.38461538461538464,4.0,11.0
stop_confirmed,29,0.75,2.0,2.0
stop_confirmed,30,0.52,12.0,23.0
stop_confirmed,31,0.5,5.0,10.0
stop_confirmed,32,0.6,8.0,13.0
stop_confirmed,33,0.3225806451612903,9.0,29.0
stop_confirmed,34,0.4666666666666667,6.0,13.0
stop_confirmed,35,0.10526315789473684,1.0,17.0
stop_confirmed,36,0.5263157894736842,9.0,17.0
stop_confirmed,37,0.4090909090909091,8.0,20.0
stop_confirmed,38,0.7272727272727273,7.0,9.0
stop_confirmed,39,0.5,5.0,10.0
stop_confirmed,40,0.5,3.0,6.0
stop_confirmed,41,0.5,4.0,8.0
stop_confirmed,42,0.2962962962962963,7.0,25.0
stop_confirmed,43,0.4583333333333333,10.0,22.0
stop_confirmed,44,0.5555555555555556,4.0,7.0
stop_confirmed,45,0.5555555555555556,9.0,16.0
stop_confirmed,46,0.4444444444444444,3.0,7.0
stop_confirmed,47,0.35714285714285715,4.0,12.0
stop_confirmed,48,0.6666666666666666,5.0,7.0
stop_confirmed,49,0.1875,8.0,46.0
stop_confirmed,50,0.52,12.0,23.0
stop_confirmed,51,0.32,7.0,23.0
stop_confirmed,52,0.6666666666666666,5.0,7.0
stop_confirmed,53,0.5,9.0,18.0
stop_confirmed,54,0.5789473684210527,10.0,17.0
