trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
281,28,2,152,152,True,False,
282,28,1,138,138,False,False,
282,28,2,138,138,False,False,
282,28,3,150,150,True,False,
283,28,1,137,137,True,False,
284,28,1,122,122,False,False,
284,28,2,122,122,False,False,
284,28,3,120,120,False,False,
284,28,4,128,128,True,False,
285,28,1,16,16,True,False,
286,28,1,53,53,True,False,
287,28,1,100,100,False,False,
287,28,2,100,100,False,False,
287,28,3,96,96,True,False,
288,28,1,14,14,False,False,
288,28,2,14,14,True,False,
289,28,1,86,86,False,False,
289,28,2,121,121,False,False,
289,28,3,121,121,True,False,
290,29,1,27,27,False,False,
290,29,2,27,27,False,False,
290,29,3,27,27,False,False,
290,29,4,27,27,True,False,
291,29,1,40,40,False,False,
291,29,2,40,40,False,False,
291,29,3,40,40,False,False,
291,29,4,31,39,True,True,39
292,29,1,149,149,False,False,
292,29,2,149,149,False,False,
292,29,3,149,149,True,False,
293,29,1,154,154,True,False,
294,29,1,112,112,True,False,
295,29,1,101,101,True,False,
296,29,1,15,15,True,False,
297,29,1,37,38,True,True,38
298,29,1,140,140,True,False,
299,29,1,147,147,True,False,
300,30,1,134,147,True,True,147
301,30,1,32,32,True,False,
302,30,1,123,123,True,False,
303,30,1,137,137,False,False,
303,30,2,130,130,False,False,
303,30,3,130,130,False,False,
303,30,4,130,130,True,False,
304,30,1,101,101,True,False,
305,30,1,43,43,False,False,
305,30,2,36,36,False,False,
305,30,3,36,36,True,False,
306,30,1,78,78,True,False,
307,30,1,129,129,True,False,
308,30,1,111,111,False,False,
308,30,2,111,111,True,False,
309,30,1,125,125,True,False,
310,31,1,104,104,True,False,
311,31,1,94,94,False,False,
311,31,2,94,94,False,False,
311,31,3,94,94,True,False,
312,31,1,150,150,True,False,
313,31,1,114,114,False,False,
313,31,2,130,130,False,False,
313,31,3,130,130,True,False,
314,31,1,145,145,True,False,
315,31,1,96,96,True,False,
316,31,1,141,141,False,False,
316,31,2,144,144,True,False,140
317,31,1,81,81,True,False,
318,31,1,86,86,True,False,
319,31,1,129,129,False,False,
319,31,2,129,129,False,False,
319,31,3,129,129,True,False,
320,32,1,1,1,True,False,14
321,32,1,2,2,True,False,
322,32,1,69,69,True,False,
323,32,1,6,6,True,False,
324,32,1,71,71,False,False,
324,32,2,70,70,False,False,
324,32,3,74,74,True,False,
325,32,1,104,104,False,False,
325,32,2,105,105,True,False,
326,32,1,147,147,False,False,
326,32,2,152,152,True,False,
327,32,1,44,44,False,False,
327,32,2,40,40,True,False,39
328,32,1,99,99,True,False,
329,32,1,94,94,False,False,
329,32,2,94,94,True,False,
330,33,1,66,66,True,False,
331,33,1,115,89,True,True,89
332,33,1,117,117,False,False,
332,33,2,96,96,False,False,100
332,33,3,100,100,False,False,
332,33,4,116,116,False,False,
332,33,5,132,126,True,True,126
333,33,1,33,33,False,False,
333,33,2,4,4,False,False,
333,33,3,7,7,False,False,
333,33,4,7,7,False,False,
333,33,5,27,27,True,False,
334,33,1,48,48,False,False,36
334,33,2,36,36,False,False,
334,33,3,47,47,True,False,
335,33,1,85,85,False,False,
335,33,2,96,90,True,True,90
336,33,1,148,148,False,False,
336,33,2,148,148,False,False,
336,33,3,134,134,True,False,
337,33,1,4,4,True,False,
338,33,1,30,30,False,False,20
338,33,2,44,44,False,False,
338,33,3,31,31,True,False,
339,33,1,119,119,False,False,
339,33,2,103,103,True,False,
340,34,1,57,65,True,True,72 65
341,34,1,64,64,False,False,
341,34,2,57,57,False,False,
341,34,3,44,44,False,False,
341,34,4,44,44,False,False,
341,34,5,57,57,False,False,
341,34,6,58,58,True,False,
342,34,1,78,78,False,False,
342,34,2,82,82,True,False,
343,34,1,26,26,True,False,
344,34,1,59,59,True,False,
345,34,1,54,54,True,False,
346,34,1,142,142,False,False,
346,34,2,150,150,False,False,145
346,34,3,153,153,True,False,
347,34,1,73,73,False,False,
347,34,2,66,66,True,False,
348,34,1,30,30,False,False,
348,34,2,30,30,False,False,
348,34,3,56,38,True,True,38
